S0:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
62:  4 10  0  4  4  0  2 12  4  0  6 12  0  2  4  0 
63:  4  4  6  2  6  2  2  6  8  4  6  6  2  2  2  2 

S2:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
 0: 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 1:  4 10  2  2  2  4  2  6  2  6  4 14  4  0  0  2 
 2:  0  0  0  2  0  6  2 10  0  4 12 10  6  4  4  4 
 3:  6  2  2  4  4  0  8  2  4  8  2  4  6  6  4  2 
 4:  0  0  0  4  0  2  4  6  0 10  6  4  6 10  8  4 
 5:  6  8  6  0  6  4  4  2  0  2  4  2  4  6  6  4 
 6:  0  6  8  6 10  0  4  6  2  6  0  4  8  4  0  0 
 7:  2  2  4  6 10  6  4  6  2  2 10  4  2  2  2  0 
 8:  0  0  0 12  0  4  4  4  0  8  4  8  4  0 12  4 
 9:  2  2 10  4  4  6  0  4  4  6  2  6  2  6  4  2 
10:  0  6  8  0 12  8  6  0  2  6  4  2  2  0  6  2 
11:  6  0  4  6  2  6  0  0  2  4  4  2  0  8 10 10 
12:  0  0  0  6  0 12  8  6  0 10  2  2  2  8  4  4 
13:  4  2  8  0  6  0  2  6  4  2  2  2 10  4  8  4 
14:  0  4  8  2  2  4  0  4  8  4  4  2  8  2  2 10 
15:  6  2  0  6  6  2  4 10  6  6  4  2  0  4  2  4 
16:  0  0  0  2  0  8  6  8  0  4  4  6  0 16  2  8 
17:  0  8  4  0  4  4 18  2  4  0  2  2  6  2  6  2 
18:  0  2  6  2  2  6  6  8  8  0  2  4  6  4  6  2 
19:  4  4  2  8  6  4  2  2  0  6  2  6 12  4  0  2 
20:  0  8  2  2  8  2  8  6  8  2  8  2  2  2  0  4 
21:  4  6  2  4  0  0  4  4 10  0  2  8  4  4  2 10 
22:  0 12  8  2  4  4  2  0  2  2  4  6  4  4  4  6 
23:  6  4  2  4  4  6  2  4  2  4  6  4  6  4  0  6 
24:  0  8  2  8  6  0  2  2  8  2  2  2  8  4  8  2 
25:  0  2  4  0  2  8  6  6 12  4  4  2  2  6  6  0 
26:  0  4  4  6  4  4  6  4 10  4  0  8  2  0  2  6 
27: 10  0  8  8  0  4  4  6  4  2  4  0  0  4  6  4 
28:  0  8  8 10 10  0  4  0  8  0 10  0  2  0  2  2 
29:  4 10  4  6  4  6  0  2  8  4  0  4  0  4  0  8 
30:  0  6 10  0  6  4  2  0  8  2  2  4  4  6  4  6 
31:  0  2  2  6  4  4  4  2  0  8 12  2  6  0  8  4 
32:  4  2  6  0  0  2  2  4  6  2  4  4 10  2 12  4 
33: 10  0  2  2  0  8  0 14  2 10  0  2  0  2  6  6 
34:  6  6  0  4  4  6  8  2  0  8  4  4  4  2  2  4 
35:  8  2  6  6  2  6  0  6  2  4  4  4  2  6  4  2 
36:  0  4  6  6  6 10  6 10  4  2  2  0  0  2  4  2 
37:  4  4  2  6  6  2  0  4  0 10  4  2  6  4  6  4 
38:  6  4  0  6  4  6  2  0  4  4  4  0  6 10  2  6 
39:  2  0  0  6 10  4  4  6  2  2  4  8 12  0  2  2 
40:  6  0  6  0  6  4  0  6  4  0  2 10  6  6  6  2 
41:  2  2  0  2  8  4  6  4  0 10  0  8  8  2  4  4 
42:  8  2  4  2  2  2  4  4  6  6  6  6  2  4  4  2 
43:  4  8 10  8  0  4  6  0  4  0  4  2  2  6  6  0 
44:  2  6  6  4  2  6  2  4  2 14  4  6  2  2  0  2 
45:  6  2 10  0  2  4  6  2  4  4 10  0  6  0  8  0 
46:  4  0  4 10  0  0 12  6  2  4  6  2  2  0  6  6 
47:  4  2  6  2  0  4  2  4  6  4  6  6  4  8  0  6 
48:  2 12  4 10  2  2  2  2  6  2  0  8  2  0  2  8 
49:  8  0  2  2  4  6  6  0 12  4  8  0  6  4  2  0 
50:  2  0  2  4 10  8  4  2  4  0  2 10 10  2  2  2 
51:  2  0  4  6  0  2  4  6  4  2  6  4  4  6  8  6 
52:  0  4  2  0  6  2  4  2 12  4  6  4  4  4  2  8 
53:  4 10  2  4  4  2  6  0  4  2  4  2  2  4  6  8 
54:  8  4  8  6  0  4  4  2  4  2 10  2  0  6  2  2 
55:  2 16  6  0  6  2  4  4  2  2  6  6  4  2  2  0 
56:  4 10 10  2  0  2  6  6  2  6  2  0  2  6  2  4 
57:  2  2  6  6  6  0 10  0  4  4  6  6  2  4  4  2 
58:  4  0  0  2  4  6  2 10  4  4  4  6  4  6  6  2 
59:  4 10  2  0  4  2  4  6  8  2  0  2  4  6  6  4 
60:  2  2  4  2 14  0  6  2  4  2  4  0  6  6  4  6 
61:  0  4  0 14  2  6  2  4  2  0  0  4  2  8  0 16 
62:  6  8  2  6  4  4  0  2  0  4  4  2  4  6  8  4 
63:  2  2  6  0 10  8  4  4  8  4  2  8  0  2  0  4 

S3:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
 0: 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 1:  2  4  4  6  4  4 14  6  2  2  2  2  0  6  4  2 
 2:  0  0  0  8  0  2  2  8  0  4  4  8  4 10 10  4 
 3:  2  2  4  4  2  2  2  2  4  2  2  8  6  8 10  4 
 4:  0  0  0  6  0  0 12  2  0 10  4  4 10  4  6  6 
 5:  2  8  2  4  2  0  0  2  6  8  6  4  4  6  2  8 
 6:  0 14  2  4  8  4  0  8  8  0  8  0  2  0  0  6 
 7:  4  6  6  4  6  2  0  8  2  0  2  4  8  4  4  4 
 8:  0  0  0  4  0  6  4 10  0  2 10  8  6  6  4  4 
 9:  0  8  0  6  6  2  2  4  4  6 10  2  8  2  2  2 
10:  0 10  6  0  8  2  4  6  6  2  6  2  2  6  4  0 
11:  8  2  4  0 10  4  8  8  2  6  6  4  0  0  2  0 
12:  0  0  0  6  0 10  8  4  0  6  4  8  2 10  6  0 
13:  8  2  2  6  2  6  2  4  6  0  8  0  2  2  6  8 
14:  0  4  4  4  8  0  6  2 10  4  0  6  2  8  6  0 
15: 14  0  2  2  0  4  8  2  2  8  0  8  0  4  2  8 
16:  0  0  0  4  0 10  6  4  0 12  8  4  2  4  4  6 
17:  6  4  4  6  2  6  2  2  8  4  0  8  4  6  2  0 
18:  0  0  2  6  2  6  2  6  0  4  2  6  8  4 16  0 
19:  0  0  6  6  4  8  4  4  8  2  6  4  2  8  2  0 
20:  0  6  8  2  8  2  6  0  6 10  0  0  0  0  0 16 
21:  0  2 12  2  4  2  6  4  2  4  6  4  4  2  6  4 
22:  0  8 12  2  6  8  0  0  6  0  6  2  6  2  0  6 
23:  0  6  6  4 12  4  4  4  0  2  4  2  8  4  2  2 
24:  0  8  8  4 10  2  4  0  2  0  6  0 10  0  0 10 
25:  2  4  2  4  2  2  2  6  6 10  4  4  8  2  2  4 
26:  0 10  8  2  4  0  2  6  4  8  0  8  4  6  2  0 
27:  8  4  8  0  6  0  2  4  2  0  2  4  0  8  4 12 
28:  0  2  8 10  6  6  4  0 12  0  4  0  6  0  0  6 
29:  0  4  2  2  2 18  4  4  2  2  4  0  6  2  8  4 
30:  0  2  6  2  4  6  4  8 10  2  2  8  0  4  6  0 
31:  8  8  0  8  0  0  4  0  8  8  2  6  4  0  6  2 
32:  4  0  2  4  2  4  4  4  4  0  2  8 10  4  8  4 
33:  2  0  2  0  2  8  8  2  2  8 14  4  2  4  4  2 
34:  4  6  4  2  4  0  4  8  2  8  4 10  0  4  2  2 
35: 16  4  0  0  4  6  6  4  2  4  4  2  0  8  0  4 
36:  2  4  2  6  6  6  6  4  6  0  6  2  4  4  4  2 
37:  2  8  4  6  4 12  2  6  4  0  2  2  6  0  4  2 
38:  0  8  4  0  6  4  4  6  6  8  4  2  0  8  0  4 
39:  4  4  6  6  0  0  8  0  0  2  4  6  6  4  8  6 
40: 14  6  4  4  4  6  2  4  0  2  6  4  0  4  2  2 
41:  4 10  6  2  4  0  6  4  2  0  2  2  4  8  4  6 
42:  2  4  0  8  4  0  2  4  0  2  4  0 14  6 14  0 
43:  4  4  0  6  0  0  4  2 10  0 10 10  6  4  2  2 
44:  4  2  4  2  0  2  8  2  4 12  2  6  4  4  2  6 
45:  4  6  4  2  2  0  2  4  6  6  0 12  4  4  2  6 
46: 10  2  8  2  2 10  2  4  2  0 12  0  0  2  0  8 
47:  4  4  2  6  4  6  8  6  2  0  0  2  8  8  4  0 
48:  0  4  4  4  4  8  4  8  2  2  2  2  4  8  4  4 
49:  4  4  0 14  2  2  0  6  0  2  4  4  8  2 10  2 
50:  8  6 10  4  2  0  4  2 10  4  0  2  8  2  2  0 
51:  8  2  4  4  6  4  0  4  0  6  6  2  4  2  4  8 
52:  2  4  8 10  6  0  4  2 10  4  2  4  4  2  0  2 
53:  4  4  6  0  6  8  0  4  4  0  4  2  2  8  6  6 
54:  0  4  2  2  6  2  6  2  4  2  4  6  2  4  8 10 
55:  4  2  6  2  4  0  4  2  8 14  2  6  4  0  0  6 
56:  8  2  6  2  2  0  4  4  2  8  6  2  0  6  4  8 
57:  2  4  0  2 10  2  8  4  8  6  4  6  2  2  2  2 
58:  0  4  2  4  6  6  4  6  4  6  4  8  0  6  4  0 
59:  0  4  4  8  8  6  4  6  4  2  0  2  2  6  2  6 
60:  6  2  2  4  8  2  4  0  4  4  2  4 10  0  4  8 
61:  2  4 10  2  2  4  2  6  6 10  6  0  0  4  4  2 
62:  0  6  2  6  2 14  2  4  4  2  4  4  4  0  6  4 
63:  0  0 10  4  6  6  2  4  6  4  2  2  6  0  8  4 

S4:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
 0: 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 1:  0  8  0  6  4  2  4  8  4  6 10  2  2  2  4  2 
 2:  0  0  0  2  0 12  6  4  0  2  4  4  8 10 10  2 
 3:  6  2  2  2  0  2 10  0  2  4  6  4 10  6  0  8 
 4:  0  0  0  6  0  4  6  4  0 12  6  4 10  6  2  4 
 5:  4  2  6  6  0  4  2  8  0  2  6  2  2  2 12  6 
 6:  0  8 10  6  2 10  2  2  4  2  6  0  2  0  2  8 
 7: 12  0  4  4  2  6  4  4  2  4  4  6  8  2  0  2 
 8:  0  0  0  4  0 10  8  6  0  6  4  2  6  6  6  6 
 9:  6  4  4  6 16  6  2  0  2  4  2  4  4  2  0  2 
10:  0  4  8  4  0  4  0  0 12 10  4  6  6  0  2  4 
11:  2  4  0  6  0  2 14  0  2  8  8  2  6  8  0  2 
12:  0  0  0  8  0  0 10  6  0  4 12  8  6  2  4  4 
13:  2  2  0  4  2  4  0  6  8 10  2  4  6  2  4  8 
14:  0  8  6  6  2  4  8  6  4  4  0  4  6  0  2  4 
15:  4  6  0  2  4 10 12  2  0  2  6  4  6  0  0  6 
16:  0  0  0  0  0  6 10  8  0  2  8 10  2  6  8  4 
17:  0 12  6  4  4  0  0  2  4  8  4  6  0  4  6  4 
18:  0  0  4  6  6  0  2 10  6  6  2  8  0 10  4  0 
19:  6  6  0  4 12  6  8 10  0  0  2  2  2  0  2  4 
20:  0 12  4  6  4  0  6  4  6  4  2  2  6  0  4  4 
21:  6  4  6  2 10  6  0  6  8  2  0  8  0  4  2  0 
22:  0  4  6  2 20  0  0  0  4  4  4  4  0  4  6  6 
23:  2  2  0  4  0  6  0  6  4  6  4  6  8  4 10  2 
24:  0  6  8  4  2  6  0  2 10  2  6  4  2  4  0  8 
25:  0  2  8  0  4  0  2  4  6  2  0  6  0  6 16  8 
26:  0  2 12  4 16  2  2  6  4  0  0  2  0  4  6  4 
27:  4  2  4 12  0  2  0  4  8  4  4  2  4 12  0  2 
28:  0 14  0  4  6  6  4  2  8  2  2  2  8  4  0  2 
29:  2  2 18  0  4  6  6  2  8  2  0  0  2  6  4  2 
30:  0  6  6  2  6  0  0  4  6  4  4  4  2  8  8  4 
31:  8  6  6  2  2  2  0  2  6  0  6  6  4  4  4  6 
32:  2  2  2  2  4  2  4  6  2  2 10  2  6  4 10  4 
33:  6  2  2  2  2  4  8  6  0  4  4  0  6 12  4  2 
34:  8  8  0  4  8  6  6  0  4  4  4  0  4  2  2  4 
35: 10  6  2  4  2  2  0  6  6  4  2 10  2  0  4  4 
36: 10  8  2  6  4  0  4  6  2  2  2  4  2  4  6  2 
37:  6  4  4  0  8  6  4  4  0  4  8  2  2  6  0  6 
38:  4  0  0  4  0  4  4  0  2  4  6  8  6 12  2  8 
39:  2  2 14  2  2  0  4  6  8  0  6  2  6  0  6  4 
40:  0  4  4  6  6  0  2  6  6  6  6  0  2 12  2  2 
41:  4  4  2  8  0  4  2  4  2 10  2  8  4  0  8  2 
42:  4  8  2  6  4  4  4  4  2  0  2  8  4  2  2  8 
43:  0  4  4  0  6 14  6  6  8  2  2  4  4  2  2  0 
44:  2 10  4  6  6  6  4  2  4  0  0  2  4  4  8  2 
45:  8  0  4  4  2  4  6  4  2  6 10  6  0  6  0  2 
46:  2  0 10  2  0  2 12  4  6  6  2  8  8  0  0  2 
47:  4  6  0  4  2  2  2  4  6  2  2  8  8  6  4  4 
48:  2  4  2  0  4  4  2 10  8  6  0  2  4  4  2 10 
49:  4  2  2 10  4  2 12  4  2  2  2  4  8  4  2  0 
50:  4  4  4 12  2  2  4  0  2  6 10  6  2  2  4  0 
51:  4  2  2  4  4  2  0  2  2  8 10  4  0  6 10  4 
52:  2  4  2  0  6  6  6  6  6  6  2  6  2  4  6  0 
53:  2  8  0  2  2  0  2  0  6  4  8  6  2  4  2 16 
54:  8  2  0  8  4  8  2  4  2  6  6  4  2  4  4  0 
55:  2  6  6  4 12  4  2  4  4  6  0  0  2  4  4  4 
56:  6  2 14  6  6  0  2  4  8  2  2  0  2  2  0  8 
57:  2  4  6  8  2 12  0  2  6  2  2  2 10  2  4  0 
58:  2  4  0  0  6  6  4  6  4  2 10  2  4  0 10  4 
59:  2  4  8  4  4  0  4  2  2  8  0  4  2  2 10  8 
60:  0  2 10  2  4  6  0  0  4  4  2 12  6  2  2  8 
61:  4  4  4  2  4  4 10  4  6  0  4  0  8  2  4  4 
62:  8  2  8  0  0  8  4  6  2  8  0  0  6  6  4  2 
63:  4  6  4  6  8  4  2  6  4  2  2  4  0  8  0  4 

S5:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
 0: 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 1:  2  8  2  6  8  6  8  4  8  4  0  2  2  2  2  0 
 2:  0  0  0  4  0  4  4  8  0  6  4 10  4  6  8  6 
 3:  0  2  0  6  6  2  8  4  0  2 14  4  0  8  4  4 
 4:  0  0  0 12  0  0  8  4  0  4  6 10  2  2  8  8 
 5:  4  2  4  0  4  6  4  4  0  0  4 14  2  6  2  8 
 6:  0  8  4  2 10  4  2  2  8  2  0  4 10  2  2  4 
 7:  8  6  6  0  6  2  2  2  2  8  2  4  4  8  2  2 
 8:  0  0  0  6  0  4 14  4  0  0 10  4  6  6  6  4 
 9:  2  2 10  0  0  2  6 10 12  2  6  2  2  2  2  4 
10:  0 14  6  4  0  8  2  2  6  6  2  2  6  4  2  0 
11:  8 10  4  0  4  4  0  6  0  6  2  6  8  4  2  0 
12:  0  0  0 10  0 12  4  2  0  8  6  0  4 16  2  0 
13:  6  4  0  4  6  6  4  2  4  4  2  4  6  4  8  0 
14:  0  2  6  2  6  4 10  6  6  2  8  6  0  0  4  2 
15:  6  2  2 12  2  0  0  8  2  2  6  0  4  2 10  6 
16:  0  0  0  6  0  6  0 12  0  4  4  6 10  4 10  2 
17:  2  2  6 10  0  2  8  2  2  2  4  8  0  2  2 12 
18:  0 10  0  0  4  6  2  2  4  8  4  2  8  4  6  4 
19:  4  2  0  4  4  2  6  2 18  4  4  0  0  6  4  4 
20:  0  4  4  2  8  4  0  2  8  8  4  2  2  6  6  4 
21:  6  4  2  2  6  4  0  0 10  2  6  0 20  0  2  0 
22:  0  6 16  6  6  4  4  6  4  0  2  2  0  0  0  8 
23:  2  6  4  8  6  8  0 10  0  2  6  8  0  0  2  2 
